country,iso3c,region,region_orig,ubigeo,iso_3166_2_code,date,confirmed,deaths,recovered,total_tests,negative_tests,pcr_test_positive,serological_test_positive,ag_test_positive,pcr_serological_test_positive,zone,pop2020,surface,capital,altitude,lat,lon
Peru,PER,NA,NA,NA,NA,2020-03-06,1,NA,NA,NA,154,NA,NA,NA,NA,NA,32625948,NA,NA,NA,NA,NA
Peru,PER,NA,NA,NA,NA,2020-03-07,6,NA,NA,NA,213,NA,NA,NA,NA,NA,32625948,NA,NA,NA,NA,NA
Peru,PER,NA,NA,NA,NA,2020-03-09,9,NA,NA,NA,309,NA,NA,NA,NA,NA,32625948,NA,NA,NA,NA,NA
Peru,PER,NA,NA,NA,NA,2020-03-10,11,NA,NA,NA,335,NA,NA,NA,NA,NA,32625948,NA,NA,NA,NA,NA
Peru,PER,NA,NA,NA,NA,2020-03-11,17,NA,NA,NA,697,NA,NA,NA,NA,NA,32625948,NA,NA,NA,NA,NA
Peru,PER,NA,NA,NA,NA,2020-03-12,22,NA,NA,NA,883,NA,NA,NA,NA,NA,32625948,NA,NA,NA,NA,NA
Peru,PER,AREQUIPA,AREQUIPA,040000,PE-ARE,2020-03-13,2,NA,NA,NA,NA,NA,NA,NA,NA,ZONA SUR,1497438,63344,Arequipa,2429,-16.3933,-71.5289
Peru,PER,CUSCO,CUSCO,080000,PE-CUS,2020-03-13,1,NA,NA,NA,NA,NA,NA,NA,NA,ZONA SUR,1357075,71987,Cusco,3439,-13.5192,-71.9767
Peru,PER,HUANUCO,HUANUCO,100000,PE-HUC,2020-03-13,2,NA,NA,NA,NA,NA,NA,NA,NA,ZONA CENTRO,760267,37263,Huánuco,1921,-9.93,-76.2397
Peru,PER,ICA,ICA,110000,PE-ICA,2020-03-13,1,NA,NA,NA,NA,NA,NA,NA,NA,ZONA SUR,975182,21306,Ica,432,-14.0636,-75.7292
Peru,PER,LIMA,LIMA,150000,PE-LIM,2020-03-13,32,NA,NA,NA,NA,NA,NA,NA,NA,ZONA CENTRO,10628470,34824,Lima,162,-12.0453,-77.0308
Peru,PER,NA,NA,NA,NA,2020-03-13,38,NA,NA,NA,1194,NA,NA,NA,NA,NA,32625948,NA,NA,NA,NA,NA
Peru,PER,AREQUIPA,AREQUIPA,040000,PE-ARE,2020-03-14,2,NA,NA,NA,NA,NA,NA,NA,NA,ZONA SUR,1497438,63344,Arequipa,2429,-16.3933,-71.5289
Peru,PER,CUSCO,CUSCO,080000,PE-CUS,2020-03-14,1,NA,NA,NA,NA,NA,NA,NA,NA,ZONA SUR,1357075,71987,Cusco,3439,-13.5192,-71.9767
