country,iso3c,region,cod_dep_inei,cod_dep_reniec,iso_3166_2_code,date,confirmed,deaths,recovered,negative_cases,pcr_positivo,prueba_rapida_positivo,pcr_prapida_positivo,pob_2017
Peru,PER,NA,NA,NA,NA,2020-03-06,1,NA,NA,154,NA,NA,NA,NA
Peru,PER,NA,NA,NA,NA,2020-03-07,6,NA,NA,213,NA,NA,NA,NA
Peru,PER,NA,NA,NA,NA,2020-03-09,9,NA,NA,309,NA,NA,NA,NA
Peru,PER,NA,NA,NA,NA,2020-03-10,11,NA,NA,335,NA,NA,NA,NA
Peru,PER,NA,NA,NA,NA,2020-03-11,17,NA,NA,697,NA,NA,NA,NA
Peru,PER,NA,NA,NA,NA,2020-03-12,22,NA,NA,883,NA,NA,NA,NA
Peru,PER,AREQUIPA,04,04,PE-ARE,2020-03-13,2,NA,NA,NA,NA,NA,NA,1382730
Peru,PER,CUSCO,08,07,PE-CUS,2020-03-13,1,NA,NA,NA,NA,NA,NA,1205527
Peru,PER,HUANUCO,10,09,PE-HUC,2020-03-13,2,NA,NA,NA,NA,NA,NA,721047
Peru,PER,ICA,11,10,PE-ICA,2020-03-13,1,NA,NA,NA,NA,NA,NA,850765
Peru,PER,LIMA,15,14,PE-LIM,2020-03-13,32,NA,NA,NA,NA,NA,NA,9485405
Peru,PER,NA,NA,NA,NA,2020-03-13,38,NA,NA,1194,NA,NA,NA,NA
Peru,PER,AREQUIPA,04,04,PE-ARE,2020-03-14,2,NA,NA,NA,NA,NA,NA,1382730
Peru,PER,CUSCO,08,07,PE-CUS,2020-03-14,1,NA,NA,NA,NA,NA,NA,1205527
Peru,PER,HUANUCO,10,09,PE-HUC,2020-03-14,2,NA,NA,NA,NA,NA,NA,721047
Peru,PER,ICA,11,10,PE-ICA,2020-03-14,1,NA,NA,NA,NA,NA,NA,850765
Peru,PER,LIMA,15,14,PE-LIM,2020-03-14,37,NA,NA,NA,NA,NA,NA,9485405
Peru,PER,NA,NA,NA,NA,2020-03-14,43,NA,NA,1502,NA,NA,NA,NA
Peru,PER,ANCASH,02,02,PE-ANC,2020-03-15,1,NA,NA,NA,NA,NA,NA,1083519
Peru,PER,AREQUIPA,04,04,PE-ARE,2020-03-15,2,NA,NA,NA,NA,NA,NA,1382730
Peru,PER,CALLAO,07,24,PE-CAL,2020-03-15,2,NA,NA,NA,NA,NA,NA,994494
Peru,PER,CUSCO,08,07,PE-CUS,2020-03-15,1,NA,NA,NA,NA,NA,NA,1205527
Peru,PER,HUANUCO,10,09,PE-HUC,2020-03-15,2,NA,NA,NA,NA,NA,NA,721047
Peru,PER,ICA,11,10,PE-ICA,2020-03-15,1,NA,NA,NA,NA,NA,NA,850765
Peru,PER,LA LIBERTAD,13,12,PE-LAL,2020-03-15,1,NA,NA,NA,NA,NA,NA,1778080
Peru,PER,LAMBAYEQUE,14,13,PE-LAM,2020-03-15,1,NA,NA,NA,NA,NA,NA,1197260
Peru,PER,LIMA,15,14,PE-LIM,2020-03-15,58,NA,NA,NA,NA,NA,NA,9485405
Peru,PER,PIURA,20,19,PE-PIU,2020-03-15,2,NA,NA,NA,NA,NA,NA,1856809
Peru,PER,NA,NA,NA,NA,2020-03-15,71,NA,NA,1751,NA,NA,NA,NA
Peru,PER,ANCASH,02,02,PE-ANC,2020-03-16,1,NA,NA,NA,NA,NA,NA,1083519
Peru,PER,AREQUIPA,04,04,PE-ARE,2020-03-16,2,NA,NA,NA,NA,NA,NA,1382730
Peru,PER,CALLAO,07,24,PE-CAL,2020-03-16,3,NA,NA,NA,NA,NA,NA,994494
Peru,PER,CUSCO,08,07,PE-CUS,2020-03-16,1,NA,NA,NA,NA,NA,NA,1205527
Peru,PER,HUANUCO,10,09,PE-HUC,2020-03-16,2,NA,NA,NA,NA,NA,NA,721047
Peru,PER,ICA,11,10,PE-ICA,2020-03-16,1,NA,NA,NA,NA,NA,NA,850765
Peru,PER,LA LIBERTAD,13,12,PE-LAL,2020-03-16,1,NA,NA,NA,NA,NA,NA,1778080
Peru,PER,LAMBAYEQUE,14,13,PE-LAM,2020-03-16,3,NA,NA,NA,NA,NA,NA,1197260
Peru,PER,LIMA,15,14,PE-LIM,2020-03-16,70,NA,1,NA,NA,NA,NA,9485405
Peru,PER,PIURA,20,19,PE-PIU,2020-03-16,2,NA,NA,NA,NA,NA,NA,1856809
Peru,PER,NA,NA,NA,NA,2020-03-16,86,NA,1,2229,NA,NA,NA,NA
Peru,PER,ANCASH,02,02,PE-ANC,2020-03-17,1,NA,NA,NA,NA,NA,NA,1083519
