country,iso3c,region,date,confirmed,deaths,recovered,total_tests,negative_tests,pcr_test_positive,serological_test_positive,ag_test_positive,pcr_serological_test_positive
Peru,PER,NA,2020-03-06,1,NA,NA,NA,154,NA,NA,NA,NA
Peru,PER,NA,2020-03-07,6,NA,NA,NA,213,NA,NA,NA,NA
Peru,PER,NA,2020-03-09,9,NA,NA,NA,309,NA,NA,NA,NA
Peru,PER,NA,2020-03-10,11,NA,NA,NA,335,NA,NA,NA,NA
Peru,PER,NA,2020-03-11,17,NA,NA,NA,697,NA,NA,NA,NA
Peru,PER,NA,2020-03-12,22,NA,NA,NA,883,NA,NA,NA,NA
Peru,PER,Arequipa,2020-03-13,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Cusco,2020-03-13,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Huánuco,2020-03-13,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Ica,2020-03-13,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Lima,2020-03-13,32,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,NA,2020-03-13,38,NA,NA,NA,1194,NA,NA,NA,NA
Peru,PER,Arequipa,2020-03-14,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Cusco,2020-03-14,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Huánuco,2020-03-14,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Ica,2020-03-14,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Lima,2020-03-14,37,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,NA,2020-03-14,43,NA,NA,NA,1502,NA,NA,NA,NA
Peru,PER,Ancash,2020-03-15,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Arequipa,2020-03-15,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Callao,2020-03-15,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Cusco,2020-03-15,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Huánuco,2020-03-15,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Ica,2020-03-15,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,La Libertad,2020-03-15,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Lambayeque,2020-03-15,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Lima,2020-03-15,58,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Piura,2020-03-15,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,NA,2020-03-15,71,NA,NA,NA,1751,NA,NA,NA,NA
Peru,PER,Ancash,2020-03-16,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Arequipa,2020-03-16,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Callao,2020-03-16,3,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Cusco,2020-03-16,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Huánuco,2020-03-16,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Ica,2020-03-16,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,La Libertad,2020-03-16,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Lambayeque,2020-03-16,3,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Lima,2020-03-16,70,NA,1,NA,NA,NA,NA,NA,NA
Peru,PER,Piura,2020-03-16,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,NA,2020-03-16,86,NA,1,NA,2229,NA,NA,NA,NA
Peru,PER,Ancash,2020-03-17,1,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Arequipa,2020-03-17,2,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Callao,2020-03-17,4,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,Cusco,2020-03-17,1,NA,NA,NA,NA,NA,NA,NA,NA
