"Nivel","zona","Ubigeo","Lugar","Pob2007","Pob2017","Pob2019","Pob_menores_un_año_2017","Pob_mayor_ 80_años_2019","Pob_Discapacidad_2019","Superficie","Densidad","Capital legal","Altitud","Latitud","Longitud","Tipología","N_Provincias","N_Distritos","N_CCPP","País_fronterizo","Pob_menor_un_año_2017","nacidos_vivos_madre_2019","nacidos_vivos_bajo_peso_madre_2019","pct_nacidos_vivos_bajo_peso_2019","menores_un_año_dni_30dias_2019","pct_desnutricion_cronica_menores_5_años_2018","pct_anemia_6m_35m_2018","pct_15a_mas_sobrepeso_2018","distritos_meta_4","idh_2019","indice_densidad_estado_2017","hab_sit_probreza_2018","pct_pobreza_total_2018","hab_pobreza_extrema_2018_2013","pct_pobreza_extrema_2018_2013","pob_ocupada_2007","pob_ocupada_2017","devengado_percapita_soles_2019_actividad","devengado_percapita_soles_2019_inversion","devengado_percapita_soles_2019_total"
"Región","ZONA CENTRO",150000,"LIMA",8730820,10135009,11245182,137218,214789,28470,34824,291,"Lima",162,-12.0453,-77.0308,"-",10,171,5229,"No",137218,152156,8426,5.5,90880,7.3,35.4,38.6,73,0.7073,0.8275,1276525,12.6,50675,0.5,3625326,4873073,6727.1,664.8,7392
"Región","ZONA NORTE",010000,"AMAZONAS",406087,417365,472870,8043,7320,8780,39249,11,"Chachapoyas",2338,-6.2294,-77.8728,"-",7,84,3174,"Ecuador",8043,5703,386,6.8,5220,25.7,27,33.1,35,0.4177,0.6629,144200,34.6,28590,6.9,124320,142701,3420.6,1717.7,5138
"Región","ZONA NORTE",060000,"CAJAMARCA",1476708,1427527,1600862,24296,32997,21671,33304,43,"Cajamarca",2731,-7.1547,-78.5108,"-",13,127,6513,"Ecuador",24296,20339,1694,8.3,17330,26.6,35.7,34.7,107,0.4251,0.6917,597420,41.9,159883,11.2,439480,494361,2738.6,953.7,3692
"Región","ZONA NORTE",130000,"LA LIBERTAD",1682213,1888972,2049071,32610,37629,8530,25495,74,"Trujillo",74,-8.1,-79.0306,"-",12,83,3506,"No",32610,26068,1651,6.3,21456,18.8,50.4,38.9,53,0.5482,0.7662,436353,23.1,58558,3.1,567300,737260,2089.4,778.4,2868
"Región","ZONA NORTE",140000,"LAMBAYEQUE",1174519,1244821,1390570,20923,26936,6350,14462,86,"Chiclayo",28,-6.7669,-79.8506,"-",3,38,1469,"No",20923,17886,1187,6.6,15901,17.1,44.4,37.7,16,0.5343,0.7665,156225,12.6,6224,0.5,377864,479221,2216.3,530.2,2747
"Región","ZONA NORTE",160000,"LORETO",944717,981897,1156517,20899,12136,4002,368799,3,"Iquitos",107,-3.7481,-73.2442,"-",8,53,2375,"BrasilColombiaEcuador",20899,19770,1605,8.1,10648,24.1,44.2,34.6,28,0.4834,0.6163,339245,34.6,67260,6.9,293382,337630,3206.3,914.2,4120
"Región","ZONA NORTE",200000,"PIURA",1725502,1929970,2068288,34794,35593,15560,35656,54,"Piura",57,-5.1525,-80.6578,"-",8,65,2803,"Ecuador",34794,26519,1932,7.3,21290,21.8,28.7,38.9,32,0.513,0.7049,445823,23.1,59829,3.1,530530,695074,2221.9,1095.1,3317
"Región","ZONA NORTE",220000,"SAN MARTÍN",746844,862459,957992,16361,11364,8022,51306,17,"Moyobamba",895,-6.0347,-76.9742,"-",10,77,2510,"No",16361,14950,940,6.3,11130,13.9,36,37.5,16,0.4832,0.7017,199228,23.1,26736,3.1,284443,343462,2536.8,1267.3,3804
"Región","ZONA NORTE",240000,"TUMBES",210798,234698,247778,4150,3494,4107,4669,50,"Tumbes",9,-3.5711,-80.4592,"-",3,13,190,"Ecuador",4150,4028,269,6.7,3060,9.7,38.3,38.7,4,0.5552,0.7426,29455,12.6,1173,0.5,73443,95073,3535.2,1315.9,4851
"Región","ZONA CENTRO",020000,"ÁNCASH",1097098,1139115,1247193,18028,28706,8706,35881,32,"Huaraz",3073,-9.5297,-77.5292,"-",20,166,7411,"No",18028,17781,1042,5.9,12690,20.9,44.7,36,68,0.5159,0.7351,263136,23.1,35313,3.1,346356,409239,3139.1,1371.9,4511
"Región","ZONA CENTRO",070000,"CALLAO",897144,1046953,1146773,15126,19847,3157,146,7175,"Callao",27,-12.0631,-77.1469,"-",1,7,7,"No",15126,16929,933,5.5,10416,7.8,35.3,39.2,7,0.6402,0.8084,131393,12.6,5235,0.5,351857,471156,3767.5,623.2,4391
