"cod_dep_inei","desc_dep_inei","cod_prov_inei","desc_prov_inei","cod_ubigeo_inei","desc_ubigeo_inei","cod_dep_reniec","desc_dep_reniec","cod_prov_reniec","desc_prov_reniec","cod_ubigeo_reniec","desc_ubigeo_reniec","cod_dep_sunat","desc_dep_sunat","cod_prov_sunat","desc_prov_sunat","cod_ubigeo_sunat","desc_ubigeo_sunat"
"01","AMAZONAS","0101","CHACHAPOYAS","010101","CHACHAPOYAS","01","AMAZONAS","0101","CHACHAPOYAS","010101","CHACHAPOYAS","01","AMAZONAS","0101","CHACHAPOYAS","010101","CHACHAPOYAS"
"01","AMAZONAS","0101","CHACHAPOYAS","010102","ASUNCION","01","AMAZONAS","0101","CHACHAPOYAS","010102","ASUNCION","01","AMAZONAS","0101","CHACHAPOYAS","010102","ASUNCION"
"01","AMAZONAS","0101","CHACHAPOYAS","010103","BALSAS","01","AMAZONAS","0101","CHACHAPOYAS","010103","BALSAS","01","AMAZONAS","0101","CHACHAPOYAS","010103","BALSAS"
"01","AMAZONAS","0101","CHACHAPOYAS","010104","CHETO","01","AMAZONAS","0101","CHACHAPOYAS","010104","CHETO","01","AMAZONAS","0101","CHACHAPOYAS","010104","CHETO"
"01","AMAZONAS","0101","CHACHAPOYAS","010105","CHILIQUIN","01","AMAZONAS","0101","CHACHAPOYAS","010105","CHILIQUIN","01","AMAZONAS","0101","CHACHAPOYAS","010105","CHILIQUIN"
"01","AMAZONAS","0101","CHACHAPOYAS","010106","CHUQUIBAMBA","01","AMAZONAS","0101","CHACHAPOYAS","010106","CHUQUIBAMBA","01","AMAZONAS","0101","CHACHAPOYAS","010106","CHUQUIBAMBA"
"01","AMAZONAS","0101","CHACHAPOYAS","010107","GRANADA","01","AMAZONAS","0101","CHACHAPOYAS","010107","GRANADA","01","AMAZONAS","0101","CHACHAPOYAS","010107","GRANADA"
"01","AMAZONAS","0101","CHACHAPOYAS","010108","HUANCAS","01","AMAZONAS","0101","CHACHAPOYAS","010108","HUANCAS","01","AMAZONAS","0101","CHACHAPOYAS","010108","HUANCAS"
"01","AMAZONAS","0101","CHACHAPOYAS","010109","LA JALCA","01","AMAZONAS","0101","CHACHAPOYAS","010109","LA JALCA","01","AMAZONAS","0101","CHACHAPOYAS","010109","LA JALCA"
"01","AMAZONAS","0101","CHACHAPOYAS","010110","LEIMEBAMBA","01","AMAZONAS","0101","CHACHAPOYAS","010110","LEIMEBAMBA","01","AMAZONAS","0101","CHACHAPOYAS","010110","LEIMEBAMBA"
"01","AMAZONAS","0101","CHACHAPOYAS","010111","LEVANTO","01","AMAZONAS","0101","CHACHAPOYAS","010111","LEVANTO","01","AMAZONAS","0101","CHACHAPOYAS","010111","LEVANTO"
"01","AMAZONAS","0101","CHACHAPOYAS","010112","MAGDALENA","01","AMAZONAS","0101","CHACHAPOYAS","010112","MAGDALENA","01","AMAZONAS","0101","CHACHAPOYAS","010112","MAGDALENA"
"01","AMAZONAS","0101","CHACHAPOYAS","010113","MARISCAL CASTILLA","01","AMAZONAS","0101","CHACHAPOYAS","010113","MARISCAL CASTILLA","01","AMAZONAS","0101","CHACHAPOYAS","010113","MARISCAL CASTILLA"
"01","AMAZONAS","0101","CHACHAPOYAS","010114","MOLINOPAMPA","01","AMAZONAS","0101","CHACHAPOYAS","010114","MOLINOPAMPA","01","AMAZONAS","0101","CHACHAPOYAS","010114","MOLINOPAMPA"
"01","AMAZONAS","0101","CHACHAPOYAS","010115","MONTEVIDEO","01","AMAZONAS","0101","CHACHAPOYAS","010115","MONTEVIDEO","01","AMAZONAS","0101","CHACHAPOYAS","010115","MONTEVIDEO"
"01","AMAZONAS","0101","CHACHAPOYAS","010116","OLLEROS","01","AMAZONAS","0101","CHACHAPOYAS","010116","OLLEROS","01","AMAZONAS","0101","CHACHAPOYAS","010116","OLLEROS"
"01","AMAZONAS","0101","CHACHAPOYAS","010117","QUINJALCA","01","AMAZONAS","0101","CHACHAPOYAS","010117","QUINJALCA","01","AMAZONAS","0101","CHACHAPOYAS","010117","QUINJALCA"
"01","AMAZONAS","0101","CHACHAPOYAS","010118","SAN FRANCISCO DE DAGUAS","01","AMAZONAS","0101","CHACHAPOYAS","010118","SAN FRANCISCO DE DAGUAS","01","AMAZONAS","0101","CHACHAPOYAS","010118","SAN FRANCISCO DE DAGUAS"
